Job_ID,Submit_Time,Start_Time,End_Time,Requested_CPUs,Used_CPUs,Requested_Memory(MB),Used_Memory(MB),Execution_Time(Seconds),Queue_Wait_Time(Seconds),User_ID,Job_Type,Priority_Level,Node_Count,Interarrival_Time
JOB_00027,2024-03-06 04:10:00,2024-03-06 04:12:57,2024-03-06 04:39:08,8,7,26840,25734,1571.8381564633175,177,User_60,batch,high,1,63
JOB_00028,2024-02-29 03:41:00,2024-02-29 03:44:44,2024-02-29 03:55:59,1,1,13827,11918,675.6501160004656,224,User_99,interactive,high,1,17
JOB_00029,2024-03-04 20:04:00,2024-03-04 20:08:17,2024-03-04 20:22:56,16,13,17881,17253,879.8860878121732,257,User_87,interactive,low,2,21
JOB_00030,2024-02-19 14:26:00,2024-02-19 14:33:13,2024-02-19 14:57:19,8,7,21539,19312,1446.1079225791814,433,User_76,batch,high,2,27
JOB_00031,2024-02-08 04:27:00,2024-02-08 04:30:08,2024-02-08 04:50:44,2,1,28849,28006,1236.1560908893625,188,User_89,interactive,medium,2,4
JOB_00032,2024-01-21 01:33:00,2024-01-21 01:40:53,2024-01-21 01:58:14,8,7,14722,13638,1041.9142948703686,473,User_65,batch,medium,2,3
JOB_00033,2024-02-10 21:18:00,2024-02-10 21:25:19,2024-02-10 21:32:58,4,3,2816,2509,459.52456502325975,439,User_20,batch,medium,2,2
JOB_00034,2024-02-23 15:16:00,2024-02-23 15:17:00,2024-02-23 15:49:29,2,1,16400,16283,1949.0685993753805,60,User_45,MPI,medium,8,17
JOB_00035,2024-01-26 07:43:00,2024-01-26 07:46:46,2024-01-26 08:03:26,2,1,19142,18467,1000.6147992359631,226,User_4,GPU,medium,2,11
JOB_00036,2024-01-01 14:11:00,2024-01-01 14:12:15,2024-01-01 14:35:06,4,3,14141,14110,1371.6534990523578,75,User_62,MPI,medium,4,2
JOB_00037,2024-03-10 01:38:00,2024-03-10 01:40:51,2024-03-10 01:50:41,4,3,8239,7453,590.1128076174039,171,User_14,batch,medium,1,4
JOB_00038,2024-01-15 12:46:00,2024-01-15 12:53:07,2024-01-15 13:16:44,2,1,24637,23340,1417.165164145565,427,User_38,batch,medium,2,7
JOB_00039,2024-03-04 13:06:00,2024-03-04 13:08:41,2024-03-04 13:19:34,4,3,6212,5850,653.9765223207361,161,User_54,interactive,high,8,7
JOB_00040,2024-02-08 11:12:00,2024-02-08 11:19:45,2024-02-08 11:36:51,4,3,17042,16243,1026.737475576631,465,User_11,batch,medium,1,21
JOB_00041,2024-01-31 23:17:00,2024-01-31 23:26:26,2024-01-31 23:58:10,4,3,29542,25280,1904.7154984855451,566,User_15,batch,high,4,4
JOB_00042,2024-01-26 07:01:00,2024-01-26 07:02:39,2024-01-26 07:21:00,1,1,15725,14054,1101.3281166095703,99,User_94,batch,medium,4,23
JOB_00043,2024-01-15 03:39:00,2024-01-15 03:46:20,2024-01-15 03:55:23,8,7,6305,6219,543.8523934875708,440,User_19,batch,medium,1,5
JOB_00044,2024-01-20 14:21:00,2024-01-20 14:30:35,2024-01-20 15:02:32,2,1,23266,21255,1917.6876166549982,575,User_45,MPI,high,2,13
JOB_00045,2024-01-31 15:18:00,2024-01-31 15:27:16,2024-01-31 15:31:35,2,1,1968,1956,259.1692599247127,556,User_40,batch,low,1,26
JOB_00046,2024-01-10 07:16:00,2024-01-10 07:21:40,2024-01-10 07:51:42,2,1,32719,28858,1802.6022359716,340,User_44,interactive,medium,16,23
JOB_00047,2024-01-09 10:36:00,2024-01-09 10:42:50,2024-01-09 10:50:13,2,1,2535,2534,443.4460783454845,410,User_59,batch,low,4,0
JOB_00048,2024-02-04 13:57:00,2024-02-04 14:03:33,2024-02-04 14:18:22,8,7,21489,20514,889.8715015213241,393,User_27,interactive,low,1,2
JOB_00049,2024-01-09 19:16:00,2024-01-09 19:25:43,2024-01-09 19:35:22,2,1,13742,13281,579.6887017696897,583,User_67,interactive,medium,1,6
JOB_00050,2024-02-02 16:12:00,2024-02-02 16:17:42,2024-02-02 16:42:49,4,3,23526,21397,1507.3509886627594,342,User_62,batch,high,2,5
JOB_00051,2024-02-01 07:22:00,2024-02-01 07:28:18,2024-02-01 07:44:16,1,1,18266,18011,958.5155851746105,378,User_45,GPU,medium,1,10
JOB_00052,2024-02-24 22:51:00,2024-02-24 22:58:53,2024-02-24 23:12:42,2,1,20968,19538,829.3401255146065,473,User_61,interactive,low,1,28
JOB_00053,2024-01-25 01:51:00,2024-01-25 01:52:13,2024-01-25 02:35:11,32,28,25829,24592,2578.478514806764,73,User_13,MPI,medium,2,1
JOB_00054,2024-01-04 22:55:00,2024-01-04 22:56:55,2024-01-04 23:34:16,8,7,28017,24212,2241.799556027095,115,User_57,MPI,high,1,6
JOB_00055,2024-03-07 10:07:00,2024-03-07 10:14:42,2024-03-07 10:21:53,2,1,9393,8874,431.4135327241692,462,User_93,interactive,medium,1,2
JOB_00056,2024-02-11 19:37:00,2024-02-11 19:43:41,2024-02-11 20:06:02,4,3,13144,12905,1341.704299319116,401,User_90,MPI,low,4,22
JOB_00057,2024-02-18 19:24:00,2024-02-18 19:28:18,2024-02-18 19:50:06,2,1,14745,12927,1308.2416906192377,258,User_58,batch,low,8,33
JOB_00058,2024-01-12 08:41:00,2024-01-12 08:46:51,2024-01-12 08:55:37,2,1,3639,3495,526.1761511472815,351,User_41,batch,high,4,6
JOB_00059,2024-02-04 10:55:00,2024-02-04 11:03:20,2024-02-04 11:26:04,8,7,19021,16240,1364.8223648217297,500,User_9,batch,medium,4,1
JOB_00060,2024-01-08 04:08:00,2024-01-08 04:10:17,2024-01-08 04:28:44,8,7,16653,16468,1107.0628699518732,137,User_39,batch,medium,1,15
JOB_00061,2024-02-20 05:57:00,2024-02-20 05:59:51,2024-02-20 06:05:10,2,1,3864,3854,319.71948316280077,171,User_6,batch,medium,1,11
JOB_00062,2024-01-27 16:27:00,2024-01-27 16:36:54,2024-01-27 16:54:21,16,15,15075,13614,1047.5291048922002,594,User_91,batch,low,1,4
JOB_00063,2024-02-27 05:17:00,2024-02-27 05:24:14,2024-02-27 06:05:50,4,3,28547,24723,2496.551618144925,434,User_15,MPI,medium,4,21
JOB_00064,2024-02-26 07:10:00,2024-02-26 07:12:55,2024-02-26 07:23:37,2,1,2798,2654,642.6216440319677,175,User_3,batch,medium,8,37
JOB_00065,2024-02-02 22:00:00,2024-02-02 22:03:21,2024-02-02 22:20:58,4,3,14286,12207,1057.7712567044846,201,User_44,batch,high,4,8
JOB_00066,2024-02-22 13:14:00,2024-02-22 13:18:16,2024-02-22 13:26:45,4,3,4895,4515,509.33888722945176,256,User_83,interactive,low,8,8
JOB_00067,2024-01-18 12:03:00,2024-01-18 12:12:59,2024-01-18 12:25:50,4,3,9297,8281,771.3365395710209,599,User_14,batch,low,2,3
JOB_00068,2024-03-05 03:09:00,2024-03-05 03:14:58,2024-03-05 03:41:00,2,1,18253,16811,1562.6365367593933,358,User_87,MPI,medium,1,8
JOB_00069,2024-01-07 07:56:00,2024-01-07 07:58:15,2024-01-07 08:26:57,4,3,28409,24225,1722.3038973249415,135,User_22,batch,low,2,5
JOB_00070,2024-01-05 04:06:00,2024-01-05 04:15:49,2024-01-05 04:25:27,1,1,10432,8947,578.2360237084424,589,User_95,GPU,high,1,3
JOB_00071,2024-03-01 04:33:00,2024-03-01 04:35:39,2024-03-01 04:55:06,8,7,30313,25838,1167.2612057359881,159,User_32,interactive,medium,1,0
JOB_00072,2024-01-21 17:51:00,2024-01-21 17:59:58,2024-01-21 18:07:08,4,3,4284,4039,430.22364800083375,538,User_67,batch,medium,2,2
JOB_00073,2024-01-27 08:10:00,2024-01-27 08:18:47,2024-01-27 08:25:10,1,1,4169,3893,383.3633758091228,527,User_23,batch,high,2,2
JOB_00074,2024-01-08 06:18:00,2024-01-08 06:23:51,2024-01-08 06:40:27,8,7,8826,7810,996.9562554928522,351,User_71,MPI,medium,2,7
JOB_00075,2024-01-22 04:32:00,2024-01-22 04:35:04,2024-01-22 04:42:03,16,14,3287,3112,419.93318478352916,184,User_21,interactive,low,2,9
JOB_00076,2024-01-10 04:38:00,2024-01-10 04:47:38,2024-01-10 05:06:19,16,14,27937,27451,1121.1569583551177,578,User_43,interactive,high,1,9
JOB_00077,2024-02-04 14:23:00,2024-02-04 14:24:22,2024-02-04 14:41:38,2,1,26044,23220,1036.3580286787414,82,User_72,interactive,medium,2,4
JOB_00078,2024-01-26 07:14:00,2024-01-26 07:17:41,2024-01-26 07:28:30,1,1,9179,8947,649.2256995208786,221,User_55,batch,medium,2,5
JOB_00079,2024-02-11 06:29:00,2024-02-11 06:38:25,2024-02-11 06:42:06,4,3,1946,1847,221.5991668209895,565,User_60,batch,medium,1,17
JOB_00080,2024-02-27 20:40:00,2024-02-27 20:41:20,2024-02-27 20:53:06,1,1,7719,6600,706.1879127411676,80,User_30,batch,low,4,6
JOB_00081,2024-02-03 04:59:00,2024-02-03 05:07:43,2024-02-03 05:41:08,16,13,21696,19662,2005.621034034127,523,User_52,MPI,medium,2,44
JOB_00082,2024-01-15 19:19:00,2024-01-15 19:28:02,2024-01-15 19:35:21,1,1,6782,6281,439.96084127825264,542,User_81,interactive,medium,2,5
JOB_00083,2024-02-03 16:40:00,2024-02-03 16:49:21,2024-02-03 17:09:07,2,1,13600,13052,1186.2438299830742,561,User_24,batch,low,8,10
JOB_00084,2024-02-02 08:06:00,2024-02-02 08:12:08,2024-02-02 08:42:27,2,1,25539,22808,1819.8971079151272,368,User_24,batch,high,8,0
JOB_00085,2024-01-20 01:40:00,2024-01-20 01:44:22,2024-01-20 02:09:49,2,1,20038,19986,1527.6492684188638,262,User_82,batch,medium,8,10
JOB_00086,2024-03-02 00:01:00,2024-03-02 00:08:55,2024-03-02 00:18:02,8,7,8840,8421,547.9243731007291,475,User_85,batch,medium,1,19
JOB_00087,2024-01-25 07:13:00,2024-01-25 07:16:21,2024-01-25 07:32:45,2,1,26767,24248,984.087720356499,201,User_56,interactive,medium,1,28
JOB_00088,2024-03-04 21:08:00,2024-03-04 21:10:46,2024-03-04 21:17:57,1,1,8580,7417,431.4770234478844,166,User_51,interactive,low,1,59
JOB_00089,2024-03-03 05:13:00,2024-03-03 05:22:48,2024-03-03 05:47:10,2,1,17249,15130,1462.328090830669,588,User_4,MPI,low,1,3
JOB_00090,2024-02-28 23:39:00,2024-02-28 23:48:56,2024-02-29 00:22:30,4,3,29563,27290,2014.716507274953,596,User_95,batch,medium,8,8
JOB_00091,2024-01-07 11:58:00,2024-01-07 12:03:50,2024-01-07 12:34:22,1,1,31126,28766,1832.8066653968924,350,User_79,batch,low,2,5
JOB_00092,2024-02-25 10:40:00,2024-02-25 10:46:10,2024-02-25 10:52:51,4,3,6954,6711,401.8887370354198,370,User_26,interactive,high,1,8
JOB_00093,2024-02-27 19:07:00,2024-02-27 19:14:24,2024-02-27 19:25:18,4,3,12657,12137,654.5097756660821,444,User_58,interactive,high,1,1
JOB_00094,2024-01-16 13:51:00,2024-01-16 13:52:52,2024-01-16 14:07:16,4,3,24408,21483,864.2966426464171,112,User_76,interactive,medium,1,19
JOB_00095,2024-02-18 14:50:00,2024-02-18 14:54:02,2024-02-18 15:02:19,16,14,4536,4260,497.46740120922175,242,User_55,interactive,medium,2,24
JOB_00096,2024-03-07 08:48:00,2024-03-07 08:55:08,2024-03-07 09:08:12,16,15,7090,6048,784.1423516848811,428,User_50,batch,medium,4,5
JOB_00097,2024-01-23 06:47:00,2024-01-23 06:48:12,2024-01-23 07:14:53,16,15,32524,29589,1601.583181637662,72,User_1,interactive,medium,8,3
JOB_00098,2024-01-15 20:57:00,2024-01-15 21:00:39,2024-01-15 21:32:23,2,1,26495,25557,1904.088595199267,219,User_91,batch,low,8,1
JOB_00099,2024-02-12 01:49:00,2024-02-12 01:54:43,2024-02-12 02:07:28,1,1,14231,12949,765.8117551773906,343,User_28,batch,medium,1,11
JOB_00100,2024-02-04 12:55:00,2024-02-04 13:00:46,2024-02-04 13:20:59,2,1,21130,20608,1213.8333129256628,346,User_27,batch,medium,1,3
JOB_00101,2024-01-25 13:42:00,2024-01-25 13:43:07,2024-01-25 14:14:42,8,7,32307,32191,1895.7907677521948,67,User_36,batch,high,1,24
JOB_00102,2024-02-28 06:06:00,2024-02-28 06:08:11,2024-02-28 06:22:06,32,29,15346,14441,835.2575105919876,131,User_97,interactive,high,1,11
JOB_00103,2024-03-03 15:18:00,2024-03-03 15:20:37,2024-03-03 15:50:15,8,7,23056,20099,1778.4870370418416,157,User_91,batch,medium,8,10
JOB_00104,2024-02-20 16:40:00,2024-02-20 16:42:26,2024-02-20 17:03:45,1,1,31396,28474,1279.6790859851899,146,User_9,interactive,medium,2,8
JOB_00105,2024-01-20 23:45:00,2024-01-20 23:47:40,2024-01-21 00:02:08,16,14,3084,2625,868.3383437414266,160,User_74,MPI,low,4,0
JOB_00106,2024-03-03 07:33:00,2024-03-03 07:38:40,2024-03-03 07:55:21,2,1,15037,14140,1001.7949804860383,340,User_14,batch,high,2,26
JOB_00107,2024-01-30 12:24:00,2024-01-30 12:29:48,2024-01-30 12:50:34,1,1,20442,19894,1246.8316651870064,348,User_69,batch,high,1,9
JOB_00108,2024-01-06 02:11:00,2024-01-06 02:15:15,2024-01-06 02:19:43,2,1,3411,3221,268.5100484904434,255,User_24,interactive,medium,1,51
JOB_00109,2024-01-21 20:21:00,2024-01-21 20:28:30,2024-01-21 20:53:07,1,1,24416,23632,1477.2564431265778,450,User_47,batch,medium,2,7
JOB_00110,2024-01-03 22:07:00,2024-01-03 22:15:29,2024-01-03 22:43:19,4,3,27497,26671,1670.7853133154997,509,User_42,batch,high,4,12
JOB_00111,2024-01-29 17:07:00,2024-01-29 17:14:07,2024-01-29 17:24:58,2,1,9055,8852,651.8496902208586,427,User_26,batch,low,1,0
JOB_00112,2024-02-06 12:21:00,2024-02-06 12:29:09,2024-02-06 12:37:14,2,1,2823,2512,485.6182492637719,489,User_59,batch,high,4,9
JOB_00113,2024-01-25 08:53:00,2024-01-25 08:55:35,2024-01-25 09:29:54,4,3,21815,21393,2059.2446645085624,155,User_15,MPI,medium,4,14
JOB_00114,2024-01-07 00:35:00,2024-01-07 00:40:20,2024-01-07 00:50:20,8,7,3804,3606,600.3802181652887,320,User_34,MPI,medium,2,15
JOB_00115,2024-01-20 04:53:00,2024-01-20 05:02:31,2024-01-20 05:08:37,4,3,2151,1921,366.96551476228285,571,User_86,interactive,high,4,14
JOB_00116,2024-02-21 15:01:00,2024-02-21 15:04:00,2024-02-21 15:38:39,2,1,25938,25888,2079.7018027281747,180,User_63,MPI,medium,2,2
JOB_00117,2024-03-06 08:18:00,2024-03-06 08:25:05,2024-03-06 08:43:21,8,7,8389,8326,1096.262164559154,425,User_68,MPI,low,2,37
JOB_00118,2024-01-29 15:25:00,2024-01-29 15:31:31,2024-01-29 15:51:29,16,15,15659,14659,1198.5264016665037,391,User_82,batch,medium,4,53
JOB_00119,2024-01-20 08:29:00,2024-01-20 08:30:51,2024-01-20 09:01:11,1,1,8635,8431,1820.1113103548173,111,User_41,MPI,low,16,0
JOB_00120,2024-02-29 15:49:00,2024-02-29 15:56:35,2024-02-29 16:06:31,4,3,13670,12155,596.9247419730614,455,User_77,interactive,high,1,27
JOB_00121,2024-02-15 10:35:00,2024-02-15 10:41:17,2024-02-15 10:57:16,2,1,8559,7809,959.5482442817712,377,User_50,MPI,low,2,3
JOB_00122,2024-02-06 00:16:00,2024-02-06 00:21:36,2024-02-06 00:43:44,1,1,15528,13627,1328.7123835727548,336,User_79,MPI,medium,1,11
JOB_00123,2024-02-28 12:19:00,2024-02-28 12:23:13,2024-02-28 12:36:26,4,3,10388,9640,793.3750921274595,253,User_51,batch,medium,1,4
JOB_00124,2024-02-11 18:22:00,2024-02-11 18:23:20,2024-02-11 18:30:56,8,7,3832,3542,456.575171718743,80,User_76,batch,medium,2,34
JOB_00125,2024-01-14 00:06:00,2024-01-14 00:13:38,2024-01-14 00:33:27,1,1,14079,12416,1189.4516523763732,458,User_15,batch,low,8,1
JOB_00126,2024-01-25 02:38:00,2024-01-25 02:42:21,2024-01-25 03:09:25,8,7,28629,27223,1624.7272254597585,261,User_45,batch,medium,1,6
JOB_00127,2024-01-13 17:01:00,2024-01-13 17:09:45,2024-01-13 17:46:58,8,6,27689,24024,2233.9146382162544,525,User_46,MPI,high,1,5
JOB_00128,2024-01-23 10:45:00,2024-01-23 10:48:30,2024-01-23 11:00:46,16,14,5321,4572,736.6092877037704,210,User_59,MPI,high,1,3
JOB_00129,2024-03-08 19:27:00,2024-03-08 19:30:38,2024-03-08 19:43:57,2,1,12233,11104,799.2089318224102,218,User_80,batch,low,2,10
JOB_00130,2024-02-21 02:19:00,2024-02-21 02:25:09,2024-02-21 02:46:04,16,13,31388,28609,1255.0558705029046,369,User_23,interactive,medium,1,1
JOB_00131,2024-02-19 01:24:00,2024-02-19 01:33:23,2024-02-19 01:55:07,2,1,21967,19725,1304.2985019661053,563,User_87,batch,low,1,12
JOB_00132,2024-01-24 21:58:00,2024-01-24 21:59:25,2024-01-24 22:07:32,4,3,1472,1308,487.60972596196024,85,User_91,batch,medium,4,39
JOB_00133,2024-03-08 23:52:00,2024-03-08 23:54:05,2024-03-09 00:01:57,1,1,6032,5433,472.68198274446604,125,User_39,batch,medium,1,16
JOB_00134,2024-02-23 05:02:00,2024-02-23 05:07:22,2024-02-23 05:28:53,1,1,22301,19502,1291.355022579538,322,User_79,batch,high,2,19
JOB_00135,2024-02-08 23:55:00,2024-02-09 00:03:51,2024-02-09 00:33:38,4,3,18201,16572,1787.2837913306366,531,User_76,MPI,low,4,4
JOB_00136,2024-02-23 02:44:00,2024-02-23 02:47:46,2024-02-23 03:05:26,2,1,17844,17588,1060.2370158062377,226,User_11,batch,medium,1,3
JOB_00137,2024-02-06 08:30:00,2024-02-06 08:33:33,2024-02-06 08:41:04,2,1,7036,6217,451.002386407354,213,User_87,interactive,low,2,7
JOB_00138,2024-02-02 22:47:00,2024-02-02 22:53:42,2024-02-02 23:08:56,1,1,23277,22175,914.4236067927831,402,User_18,interactive,medium,2,0
JOB_00139,2024-01-20 23:06:00,2024-01-20 23:13:52,2024-01-20 23:42:19,4,3,30226,26334,1707.499855489815,472,User_41,batch,medium,2,29
JOB_00140,2024-01-13 14:11:00,2024-01-13 14:15:03,2024-01-13 14:38:37,1,1,30260,27327,1414.7079560787781,243,User_16,GPU,medium,2,1
JOB_00141,2024-02-16 09:04:00,2024-02-16 09:08:13,2024-02-16 09:13:01,8,7,2644,2374,288.7466558431185,253,User_31,GPU,medium,1,23
JOB_00142,2024-02-14 22:06:00,2024-02-14 22:07:01,2024-02-14 22:25:07,1,1,14608,14470,1086.7438349730453,61,User_40,batch,low,4,0
JOB_00143,2024-01-09 06:35:00,2024-01-09 06:39:34,2024-01-09 07:08:16,1,1,29101,26604,1722.1237953287769,274,User_15,batch,low,4,17
JOB_00144,2024-03-09 19:01:00,2024-03-09 19:10:02,2024-03-09 19:36:59,2,1,28519,27194,1617.6326332079623,542,User_24,batch,low,1,1
JOB_00145,2024-01-05 06:55:00,2024-01-05 06:56:31,2024-01-05 07:17:54,2,1,21716,20421,1283.1243639538866,91,User_48,batch,low,1,0
JOB_00146,2024-01-10 23:31:00,2024-01-10 23:32:14,2024-01-10 23:35:25,2,1,1972,1717,191.74393886528657,74,User_89,batch,medium,1,12
JOB_00147,2024-01-14 21:53:00,2024-01-14 21:59:17,2024-01-14 22:13:43,2,1,21352,21158,866.1489424432509,377,User_19,interactive,medium,1,3
JOB_00148,2024-02-27 02:40:00,2024-02-27 02:45:02,2024-02-27 02:53:35,16,15,10343,9328,513.1954088488734,302,User_66,interactive,low,2,12
JOB_00149,2024-01-15 13:29:00,2024-01-15 13:30:16,2024-01-15 13:49:19,4,3,17599,15077,1143.4426694283788,76,User_50,batch,high,1,8
JOB_00150,2024-03-02 22:32:00,2024-03-02 22:41:53,2024-03-02 22:54:28,1,1,13228,11839,755.5199280756287,593,User_54,batch,low,1,1
JOB_00151,2024-02-08 10:13:00,2024-02-08 10:15:20,2024-02-08 10:37:46,2,1,12976,11682,1346.8753811865292,140,User_77,MPI,low,4,26
JOB_00152,2024-02-24 06:52:00,2024-02-24 07:00:15,2024-02-24 07:28:31,8,7,29330,25338,1696.2549261534762,495,User_18,batch,medium,1,6
JOB_00153,2024-01-06 18:46:00,2024-01-06 18:47:07,2024-01-06 19:07:19,2,1,18811,17738,1212.4432472108567,67,User_74,batch,low,4,13
JOB_00154,2024-02-05 00:32:00,2024-02-05 00:37:46,2024-02-05 01:00:38,1,1,19398,17497,1372.3602341234562,346,User_50,batch,medium,4,6
JOB_00155,2024-02-04 17:39:00,2024-02-04 17:43:05,2024-02-04 17:46:59,8,7,2128,2009,234.53525883618477,245,User_55,GPU,medium,1,9
JOB_00156,2024-02-24 05:44:00,2024-02-24 05:53:43,2024-02-24 06:24:29,4,3,30400,25870,1846.5103409896362,583,User_24,batch,high,4,3
JOB_00157,2024-02-12 14:28:00,2024-02-12 14:36:01,2024-02-12 14:40:19,4,3,1572,1567,258.5450844896522,481,User_63,interactive,medium,4,2
JOB_00158,2024-02-18 03:52:00,2024-02-18 04:00:45,2024-02-18 04:09:25,1,1,12664,11088,520.3404189730866,525,User_82,interactive,medium,1,7
JOB_00159,2024-01-23 21:13:00,2024-01-23 21:15:22,2024-01-23 21:40:49,1,1,27461,26057,1527.6009384317056,142,User_69,batch,medium,1,5
JOB_00160,2024-02-20 08:32:00,2024-02-20 08:41:02,2024-02-20 09:01:49,4,3,29849,28576,1247.867760079503,542,User_89,interactive,low,2,4
JOB_00161,2024-01-02 01:04:00,2024-01-02 01:10:24,2024-01-02 01:38:30,2,1,23169,20290,1686.4565576380303,384,User_83,batch,low,8,11
JOB_00162,2024-03-02 22:06:00,2024-03-02 22:13:58,2024-03-02 22:31:24,4,3,26170,22683,1046.02356506427,478,User_23,interactive,high,2,11
JOB_00163,2024-03-06 14:26:00,2024-03-06 14:27:50,2024-03-06 14:35:15,4,3,8927,7792,445.1304102474968,110,User_72,interactive,medium,1,0
JOB_00164,2024-01-11 10:14:00,2024-01-11 10:15:26,2024-01-11 10:28:03,2,1,19192,17023,757.3697360802558,86,User_22,interactive,low,2,4
JOB_00165,2024-03-03 01:13:00,2024-03-03 01:15:01,2024-03-03 01:45:14,16,14,27887,24407,1813.5130659711963,121,User_63,batch,high,2,5
JOB_00166,2024-02-18 21:01:00,2024-02-18 21:04:50,2024-02-18 21:24:31,8,7,11637,11067,1181.2917954510601,230,User_37,MPI,high,2,1
JOB_00167,2024-03-09 08:19:00,2024-03-09 08:24:45,2024-03-09 08:54:40,4,3,29572,27002,1795.9769094282499,345,User_18,batch,high,4,2
JOB_00168,2024-01-25 06:53:00,2024-01-25 06:55:56,2024-01-25 07:12:59,1,1,18212,16949,1023.2925569542733,176,User_24,batch,medium,2,0
JOB_00169,2024-02-28 08:12:00,2024-02-28 08:13:03,2024-02-28 08:26:08,1,1,10014,8583,785.3651451580313,63,User_41,batch,high,4,55
JOB_00170,2024-01-31 23:07:00,2024-01-31 23:09:05,2024-01-31 23:21:30,2,1,12491,12231,745.3011106476001,125,User_58,interactive,low,4,13
JOB_00171,2024-01-11 03:41:00,2024-01-11 03:42:59,2024-01-11 04:01:13,1,1,26210,22949,1094.9260546852063,119,User_80,interactive,medium,2,0
