timestamp,cpu,memory,duration
110,2,1024,45
111,2,2048,46
112,4,3072,47
113,8,4096,48
114,1,6144,49
115,1,1024,50
116,2,2048,51
117,2,3072,52
118,4,4096,53
119,8,6144,54
120,1,1024,15
121,1,2048,16
122,2,3072,17
123,2,4096,18
124,4,6144,19
125,8,1024,20
126,1,2048,21
127,1,3072,22
128,2,4096,23
129,2,6144,24
130,4,1024,25
131,8,2048,26
132,1,3072,27
133,1,4096,28
134,2,6144,29
135,2,1024,30
136,4,2048,31
137,8,3072,32
138,1,4096,33
139,1,6144,34
140,2,1024,35
141,2,2048,36
142,4,3072,37
143,8,4096,38
144,1,6144,39
145,1,1024,40
146,2,2048,41
147,2,3072,42
148,4,4096,43
149,8,6144,44
150,1,1024,45
151,1,2048,46
152,2,3072,47
153,2,4096,48
154,4,6144,49
155,8,1024,50
156,1,2048,51
157,1,3072,52
158,2,4096,53
159,2,6144,54
160,4,1024,15
161,8,2048,16
162,1,3072,17
163,1,4096,18
164,2,6144,19
165,2,1024,20
166,4,2048,21
167,8,3072,22
168,1,4096,23
169,1,6144,24
170,2,1024,25
171,2,2048,26
172,4,3072,27
173,8,4096,28
174,1,6144,29
175,1,1024,30
176,2,2048,31
177,2,3072,32
178,4,4096,33
179,8,6144,34
180,1,1024,35
181,1,2048,36
182,2,3072,37
183,2,4096,38
184,4,6144,39
185,8,1024,40
186,1,2048,41
187,1,3072,42
188,2,4096,43
189,2,6144,44
190,4,1024,45
191,8,2048,46
192,1,3072,47
193,1,4096,48
194,2,6144,49
195,2,1024,50
196,4,2048,51
197,8,3072,52
198,1,4096,53
199,1,6144,54
200,2,1024,15
201,2,2048,16
202,4,3072,17
203,8,4096,18
204,1,6144,19
205,1,1024,20
206,2,2048,21
207,2,3072,22
208,4,4096,23
209,8,6144,24
210,1,1024,25
211,1,2048,26
212,2,3072,27
213,2,4096,28
214,4,6144,29
215,8,1024,30
216,1,2048,31
217,1,3072,32
218,2,4096,33
219,2,6144,34
220,4,1024,35
221,8,2048,36
222,1,3072,37
223,1,4096,38
224,2,6144,39
225,2,1024,40
226,4,2048,41
227,8,3072,42
228,1,4096,43
229,1,6144,44
230,2,1024,45
231,2,2048,46
232,4,3072,47
233,8,4096,48
234,1,6144,49
235,1,1024,50
236,2,2048,51
237,2,3072,52
238,4,4096,53
239,8,6144,54
240,1,1024,15
241,1,2048,16
242,2,3072,17
243,2,4096,18
244,4,6144,19
245,8,1024,20
246,1,2048,21
247,1,3072,22
248,2,4096,23
249,2,6144,24
250,4,1024,25
251,8,2048,26
252,1,3072,27
253,1,4096,28
254,2,6144,29
255,2,1024,30
256,4,2048,31
257,8,3072,32
258,1,4096,33
259,1,6144,34
260,2,1024,35
261,2,2048,36
262,4,3072,37
263,8,4096,38
264,1,6144,39
265,1,1024,40
266,2,2048,41
267,2,3072,42
268,4,4096,43
269,8,6144,44
270,1,1024,45
271,1,2048,46
272,2,3072,47
273,2,4096,48
274,4,6144,49
275,8,1024,50
276,1,2048,51
277,1,3072,52
278,2,4096,53
279,2,6144,54
280,4,1024,15
281,8,2048,16
282,1,3072,17
283,1,4096,18
284,2,6144,19
285,2,1024,20
286,4,2048,21
287,8,3072,22
288,1,4096,23
289,1,6144,24
290,2,1024,25
291,2,2048,26
292,4,3072,27
293,8,4096,28
294,1,6144,29
295,1,1024,30
296,2,2048,31
297,2,3072,32
298,4,4096,33
299,8,6144,34
300,1,1024,35
301,1,2048,36
302,2,3072,37
303,2,4096,38
304,4,6144,39
305,8,1024,40
306,1,2048,41
307,1,3072,42
308,2,4096,43
309,2,6144,44
310,4,1024,45
311,8,2048,46
312,1,3072,47
313,1,4096,48
314,2,6144,49
315,2,1024,50
316,4,2048,51
317,8,3072,52
318,1,4096,53
319,1,6144,54
320,2,1024,15
321,2,2048,16
322,4,3072,17
323,8,4096,18
324,1,6144,19
325,1,1024,20
326,2,2048,21
327,2,3072,22
328,4,4096,23
329,8,6144,24
330,1,1024,25
331,1,2048,26
332,2,3072,27
333,2,4096,28
334,4,6144,29
335,8,1024,30
336,1,2048,31
337,1,3072,32
338,2,4096,33
339,2,6144,34
340,4,1024,35
341,8,2048,36
342,1,3072,37
343,1,4096,38
344,2,6144,39
345,2,1024,40
346,4,2048,41
347,8,3072,42
348,1,4096,43
349,1,6144,44
350,2,1024,45
351,2,2048,46
352,4,3072,47
353,8,4096,48
354,1,6144,49
355,1,1024,50
356,2,2048,51
357,2,3072,52
358,4,4096,53
359,8,6144,54
360,1,1024,15
361,1,2048,16
362,2,3072,17
363,2,4096,18
364,4,6144,19
365,8,1024,20
366,1,2048,21
367,1,3072,22
368,2,4096,23
369,2,6144,24
370,4,1024,25
371,8,2048,26
372,1,3072,27
373,1,4096,28
374,2,6144,29
375,2,1024,30
376,4,2048,31
377,8,3072,32
378,1,4096,33
379,1,6144,34
380,2,1024,35
381,2,2048,36
382,4,3072,37
383,8,4096,38
384,1,6144,39
385,1,1024,40
386,2,2048,41
387,2,3072,42
388,4,4096,43
389,8,6144,44
390,1,1024,45
391,1,2048,46
392,2,3072,47
393,2,4096,48
394,4,6144,49
395,8,1024,50
396,1,2048,51
397,1,3072,52
398,2,4096,53
399,2,6144,54
400,4,1024,15
